Year,Player,Pos,Age,Tm,ORtg,DRtg
1980,Bob Lanier*,C,31,MIL,117,99
1980,Allen Leavell,PG,22,HOU,107,108
1980,Butch Lee,PG,23,TOT,75,110
1980,Butch Lee,PG,23,CLE,53,115
1980,Butch Lee,PG,23,LAL,87,106
1980,Ron Lee,PG,27,TOT,93,105
1980,Ron Lee,PG,27,ATL,78,105
1980,Ron Lee,PG,27,DET,99,105
1980,John Long,SG,23,DET,104,110
1980,John Lucas,PG,26,GSW,110,108
1980,Maurice Lucas,PF,27,TOT,96,102
1980,Maurice Lucas,PF,27,POR,92,103
1980,Maurice Lucas,PF,27,NJN,104,101
1980,Ollie Mack,SG,22,TOT,106,109
1980,Ollie Mack,SG,22,LAL,97,107
1980,Ollie Mack,SG,22,CHI,109,110
1980,Moses Malone*,C,24,HOU,114,106
1980,Steve Malovic,PF,23,TOT,102,112
1980,Steve Malovic,PF,23,WSB,60,98
1980,Steve Malovic,PF,23,SDC,110,112
1980,Steve Malovic,PF,23,DET,90,111
1980,Pete Maravich*,SG,32,TOT,98,110
1980,Pete Maravich*,SG,32,UTA,91,113
1980,Pete Maravich*,SG,32,BOS,106,106
1980,Cedric Maxwell,SF,24,BOS,124,102
1980,Scott May,SF,25,CHI,106,108
1980,Bob McAdoo*,PF,28,DET,98,108
1980,Jim McElroy,PG,26,TOT,98,111
1980,Jim McElroy,PG,26,DET,101,114
1980,Jim McElroy,PG,26,ATL,91,105
1980,George McGinnis*,PF,29,TOT,95,104
1980,George McGinnis*,PF,29,DEN,94,104
1980,George McGinnis*,PF,29,IND,97,104
1980,Billy McKinney,PG,24,KCK,104,104
1980,Tom McMillen,C,27,ATL,108,102
1980,John Mengelt,SG,30,CHI,105,111
1980,Joe Meriweather,PF,26,NYK,102,107
1980,Dave Meyers,PF,26,MIL,101,103
1980,Mike Mitchell,SF,24,CLE,112,107
1980,Steve Mix,SF,32,PHI,112,102
1980,Paul Mokeski,C,23,HOU,83,109
1980,Sidney Moncrief*,SG,22,MIL,113,103
1980,Eric Money,SG-PG,24,TOT,99,112
1980,Eric Money,PG,24,PHI,80,108
1980,Eric Money,SG,24,DET,100,112
1980,Earl Monroe*,SG,35,NYK,108,112
1980,Calvin Murphy*,SG,31,HOU,114,110
1980,Swen Nater,C,30,SDC,109,106
1980,Calvin Natt,SF,23,TOT,106,103
1980,Calvin Natt,SF,23,NJN,105,103
1980,Calvin Natt,SF,23,POR,108,105
1980,Mike Newlin,SG,31,NJN,107,106
1980,Norm Nixon,PG,24,LAL,107,107
1980,Sylvester Norris,C,22,SAS,74,108
1980,Mark Olberding,SF,23,SAS,105,109
1980,John Olive,SF,24,SDC,0,115
1980,Tom Owens,C,30,POR,110,104
1980,Robert Parish*,C,26,GSW,101,102
1980,Sonny Parker,SF,24,GSW,109,105
1980,Billy Paultz,C,31,TOT,107,107
1980,Billy Paultz,C,31,SAS,111,107
1980,Billy Paultz,C,31,HOU,103,107
1980,Jim Paxson,SG,22,POR,91,107
1980,Wiley Peck,SF,22,SAS,94,108
1980,Sam Pellom,PF,28,ATL,98,101
1980,Roger Phegley,SG,23,TOT,104,108
1980,Roger Phegley,SG,23,WSB,105,109
1980,Roger Phegley,SG,23,NJN,104,106
1980,Stan Pietkiewicz,PG,23,SDC,110,112
1980,Ben Poquette,C,24,UTA,112,107
1980,Kevin Porter,PG,29,WSB,101,108
1980,Clifford Ray,C,31,GSW,97,104
1980,Marlon Redmond,SG,24,KCK,96,104
1980,Robert Reid,SF,24,HOU,106,105
1980,Kevin Restani,SF,28,SAS,110,111
1980,Clint Richardson,SG,23,PHI,97,105
1980,Micheal Ray Richardson,SG,24,NYK,103,104
1980,Anthony Roberts,SF,24,DEN,94,110
1980,Rick Robey,C,24,BOS,109,102
1980,Cliff Robinson,PF,19,NJN,101,101
1980,Jackie Robinson,SF,24,DET,125,109
1980,Truck Robinson,PF,28,PHO,102,102
1980,Bill Robinzine,PF,27,KCK,105,98
1980,Dave Robisch,C,30,CLE,119,107
1980,John Roche,PG,30,DEN,111,111
1980,Tree Rollins,C,24,ATL,121,96
1980,Dan Roundfield,PF,26,ATL,108,98
1980,Campy Russell,SF,28,CLE,99,105
1980,Alvin Scott,SF,24,PHO,97,103
1980,Charlie Scott*,SG,31,DEN,87,111
1980,Lonnie Shelton,PF,24,SEA,110,99
