Year,Team,Player,Pos,Ht_in,Wt,Birth_Date,Birth,Exp,College
1985,ATL,Sidney Lowe,PG,72.00,195,January 21 1960,us US,1,NC State
1993,ATL,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,3,"Midland College, Oklahoma"
1994,ATL,John Bagley,PG,72.00,185,April 23 1960,us US,10,Boston College
1994,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,4,Midland College Oklahoma
1995,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,5,Midland College Oklahoma
1996,ATL,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,6,"Midland College, Oklahoma"
1997,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,7,Midland College Oklahoma
1998,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,8,Midland College Oklahoma
1999,ATL,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,9,"Midland College, Oklahoma"
2001,ATL,Sean Colson,PG,72.00,175,July 1 1975,us US,R,Rhode Island UNC Charlotte
2003,ATL,Dan Dickau,PG,72.00,190,16-Sep-78,us US,R,"Washington, Gonzaga"
2004,ATL,Dan Dickau,PG,72.00,190,September 16 1978,us US,1,Washington Gonzaga
2005,ATL,Tyronn Lue,PG,72.00,175,3-May-77,us US,6,Nebraska
2006,ATL,Tyronn Lue,PG,72.00,175,3-May-77,us US,7,Nebraska
2007,ATL,Tyronn Lue,PG,72.00,175,May 3 1977,us US,8,Nebraska
2008,ATL,Tyronn Lue,PG,72.00,175,3-May-77,us US,9,Nebraska
2019,ATL,Jaylen Adams,PG,72.00,225,4-May-96,us US,R,St. Bonaventure
2020,ATL,Brandon Goodwin,PG,72.00,180,October 2 1995,us US,1,Central Florida Florida Gulf Coast
2021,ATL,Brandon Goodwin,PG,72.00,180,2-Oct-95,us US,2,"Central Florida, Florida Gulf Coast"
2023,ATL,Aaron Holiday,PG,72.00,185,September 30 1996,us US,4,UCLA
1990,BOS,John Bagley,PG,72.00,185,April 23 1960,us US,7,Boston College
1992,BOS,John Bagley,PG,72.00,185,23-Apr-60,us US,8,Boston College
1992,BOS,Rickey Green,PG,72.00,170,18-Aug-54,us US,13,"Vincennes University, Michigan"
1992,BOS,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,2,Syracuse
1993,BOS,John Bagley,PG,72.00,185,April 23 1960,us US,9,Boston College
1993,BOS,Sherman Douglas,PG,72.00,180,September 15 1966,us US,3,Syracuse
1994,BOS,Chris Corchiani,PG,72.00,185,March 28 1968,us US,2,NC State
1994,BOS,Sherman Douglas,PG,72.00,180,September 15 1966,us US,4,Syracuse
1995,BOS,David Wesley,PG,72.00,190,14-Nov-70,us US,1,Baylor
1995,BOS,James Blackwell,PG,72.00,190,25-Feb-68,us US,R,Dartmouth College
1995,BOS,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,5,Syracuse
1996,BOS,David Wesley,PG,72.00,190,14-Nov-70,us US,2,Baylor
1996,BOS,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,6,Syracuse
1997,BOS,David Wesley,PG,72.00,190,November 14 1970,us US,3,Baylor
1997,BOS,Michael Hawkins,PG,72.00,178,October 28 1972,us US,R,Xavier
2006,BOS,Dan Dickau,PG,72.00,190,September 16 1978,us US,3,Washington Gonzaga
2007,BOS,Sebastian Telfair,PG,72.00,165,June 9 1985,us US,2,
2015,BOS,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,10,Saint Joseph's
2020,BOS,Kemba Walker,PG,72.00,184,8-May-90,us US,8,UConn
2021,BOS,Kemba Walker,PG,72.00,184,8-May-90,us US,9,UConn
2019,BRK,Shabazz Napier,PG,72.00,175,14-Jul-91,us US,4,UConn
2009,CHA,Sean Singletary,PG,72.00,185,6-Sep-85,us US,R,Virginia
2012,CHA,Kemba Walker,PG,72.00,184,May 8 1990,us US,R,UConn
2013,CHA,Kemba Walker,PG,72.00,184,8-May-90,us US,1,UConn
2014,CHA,Kemba Walker,PG,72.00,184,May 8 1990,us US,2,UConn
1989,CHH,Rickey Green,PG,72.00,170,August 18 1954,us US,10,Vincennes University Michigan
1989,CHH,Sidney Lowe,SG,72.00,195,January 21 1960,us US,2,NC State
1992,CHH,Cedric Hunter,PG,72.00,180,January 16 1965,us US,R,Kansas
1992,CHH,Elliot Perry,PG,72.00,150,March 28 1969,us US,R,Memphis
1993,CHH,Tony Bennett,PG,72.00,175,1-Jun-69,us US,R,Green Bay
1994,CHH,Tony Bennett,PG,72.00,175,1-Jun-69,us US,1,Green Bay
1995,CHH,James Blackwell,PG,72.00,190,February 25 1968,us US,R,Dartmouth College
1995,CHH,Tony Bennett,PG,72.00,175,June 1 1969,us US,2,Green Bay
1998,CHH,David Wesley,PG,72.00,190,November 14 1970,us US,4,Baylor
1999,CHH,David Wesley,PG,72.00,190,14-Nov-70,us US,5,Baylor
2000,CHH,David Wesley,PG,72.00,190,14-Nov-70,us US,6,Baylor
2000,CHH,Michael Hawkins,PG,72.00,178,28-Oct-72,us US,2,Xavier
2001,CHH,David Wesley,SG,72.00,190,November 14 1970,us US,7,Baylor
2002,CHH,David Wesley,SG,72.00,190,14-Nov-70,us US,8,Baylor
1986,CHI,Billy McKinney,PG,72.00,160,5-Jun-55,us US,6,Northwestern
2002,CHI,Greg Anthony,PG,72.00,176,15-Nov-67,us US,10,"University of Portland, UNLV"
2015,CHI,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,6,Oregon
2017,CHI,Isaiah Canaan,SG,72.00,201,21-May-91,us US,3,Murray State
2016,CHO,Kemba Walker,PG,72.00,184,8-May-90,us US,4,UConn
2017,CHO,Kemba Walker,PG,72.00,184,8-May-90,us US,5,UConn
2019,CHO,Kemba Walker,PG,72.00,184,8-May-90,us US,7,UConn
2022,CHO,Ish Smith,PG,72.00,175,5-Jul-88,us US,11,Wake Forest
1980,CLE,Butch Lee,PG,72.00,185,5-Dec-56,pr PR,1,Marquette
1980,CLE,Foots Walker,PG,72.00,184,21-May-51,us US,5,"Vincennes University, West Georgia"
1981,CLE,Mack Calvin,PG,72.00,165,27-Jul-47,us US,10,"Long Beach City College, USC"
1983,CLE,John Bagley,PG,72.00,185,23-Apr-60,us US,R,Boston College
1984,CLE,John Bagley,PG,72.00,185,23-Apr-60,us US,1,Boston College
1985,CLE,John Bagley,PG,72.00,185,April 23 1960,us US,2,Boston College
1986,CLE,John Bagley,PG,72.00,185,23-Apr-60,us US,3,Boston College
1987,CLE,John Bagley,PG,72.00,185,23-Apr-60,us US,4,Boston College
1987,CLE,Mark Price,PG,72.00,170,15-Feb-64,us US,R,Georgia Tech
1988,CLE,Mark Price,PG,72.00,170,February 15 1964,us US,1,Georgia Tech
1989,CLE,Mark Price,PG,72.00,170,15-Feb-64,us US,2,Georgia Tech
1990,CLE,Mark Price,PG,72.00,170,15-Feb-64,us US,3,Georgia Tech
1991,CLE,Mark Price,PG,72.00,170,February 15 1964,us US,4,Georgia Tech
1992,CLE,Mark Price,PG,72.00,170,February 15 1964,us US,5,Georgia Tech
1993,CLE,Mark Price,PG,72.00,170,15-Feb-64,us US,6,Georgia Tech
1994,CLE,Mark Price,PG,72.00,170,February 15 1964,us US,7,Georgia Tech
1995,CLE,Elmer Bennett,PG,72.00,170,February 13 1970,us US,R,Notre Dame
1995,CLE,Mark Price,PG,72.00,170,February 15 1964,us US,8,Georgia Tech
2001,CLE,Michael Hawkins,PG,72.00,178,October 28 1972,us US,3,Xavier
2007,CLE,David Wesley,SG,72.00,190,November 14 1970,us US,13,Baylor
2010,CLE,Sebastian Telfair,PG,72.00,165,June 9 1985,us US,5,
2015,CLE,Will Cherry,PG,72.00,185,8-Feb-91,us US,R,Montana
2021,CLE,Yogi Ferrell,PG,72.00,178,9-May-93,us US,4,Indiana
2022,CLE,Brandon Goodwin,PG,72.00,180,2-Oct-95,us US,3,"Central Florida, Florida Gulf Coast"
2022,CLE,Tim Frazier,PG,72.00,170,1-Nov-90,us US,7,Penn State
2002,DAL,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,11,Texas-El Paso
2005,DAL,Dan Dickau,PG,72.00,190,16-Sep-78,us US,2,"Washington, Gonzaga"
2005,DAL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,10,Fayetteville State University
2006,DAL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,11,Fayetteville State University
2012,DAL,Rodrigue Beaubois,PG,72.00,170,24-Feb-88,gp GP,2,
2013,DAL,Darren Collison,PG,72.00,175,23-Aug-87,us US,3,UCLA
2013,DAL,Rodrigue Beaubois,PG,72.00,170,24-Feb-88,gp GP,3,
2015,DAL,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,10,Saint Joseph's
2018,DAL,Yogi Ferrell,SG,72.00,178,9-May-93,us US,1,Indiana
2019,DAL,Trey Burke,PG,72.00,185,12-Nov-92,us US,5,Michigan
2021,DAL,Trey Burke,PG,72.00,185,12-Nov-92,us US,7,Michigan
2022,DAL,Trey Burke,PG,72.00,185,12-Nov-92,us US,8,Michigan
1981,DEN,Billy McKinney,PG,72.00,160,5-Jun-55,us US,2,Northwestern
1981,DEN,Kenny Higgs,PG,72.00,180,31-Jan-55,us US,1,LSU
1983,DEN,Billy McKinney,PG,72.00,160,5-Jun-55,us US,4,Northwestern
2002,DEN,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,11,Texas-El Paso
2003,DEN,Chris Whitney,PG,72.00,168,5-Oct-71,us US,9,Clemson
2008,DEN,Allen Iverson,SG,72.00,165,7-Jun-75,us US,11,Georgetown
2008,DEN,Taurean Green,SG,72.00,177,28-Nov-86,us US,R,Florida
2009,DEN,Allen Iverson,SG,72.00,165,7-Jun-75,us US,12,Georgetown
2015,DEN,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,10,Saint Joseph's
2019,DEN,Brandon Goodwin,PG,72.00,180,2-Oct-95,us US,R,"Central Florida, Florida Gulf Coast"
1980,DET,Eric Money,SG,72.00,170,6-Feb-55,us US,5,Arizona
2009,DET,Allen Iverson,PG,72.00,165,7-Jun-75,us US,12,Georgetown
2009,DET,Will Bynum,PG,72.00,185,4-Jan-83,us US,1,"Arizona, Georgia Tech"
2011,DET,Will Bynum,PG,72.00,185,4-Jan-83,us US,3,"Arizona, Georgia Tech"
2012,DET,Walker Russell,PG,72.00,170,6-Oct-82,us US,R,Jacksonville State University
2012,DET,Will Bynum,PG,72.00,185,4-Jan-83,us US,4,"Arizona, Georgia Tech"
2018,DET,Ish Smith,PG,72.00,175,5-Jul-88,us US,7,Wake Forest
2018,DET,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,13,Saint Joseph's
2022,DET,Derrick Walton,PG,72.00,189,3-Apr-95,us US,2,Michigan
1985,GSW,Othell Wilson,PG,72.00,190,26-Oct-61,us US,R,Virginia
1992,GSW,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,2,Texas-El Paso
1995,GSW,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,4,Texas-El Paso
2001,GSW,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,11,"Midland College, Oklahoma"
2002,GSW,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,12,"Midland College, Oklahoma"
2024,GSW,Chris Paul,PG,72.00,175,6-May-85,us US,18,Wake Forest
2005,HOU,Brandin Knight,PG,72.00,180,16-Dec-81,us US,R,Pitt
2005,HOU,David Wesley,SG,72.00,190,14-Nov-70,us US,11,Baylor
2005,HOU,Tyronn Lue,PG,72.00,175,3-May-77,us US,6,Nebraska
2008,HOU,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,R,Oregon
2009,HOU,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,1,Oregon
2009,HOU,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,2,Villanova
2011,HOU,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,3,Oregon
2011,HOU,Ish Smith,PG,72.00,175,5-Jul-88,us US,R,Wake Forest
2011,HOU,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,4,Villanova
2012,HOU,Jonny Flynn,PG,72.00,185,6-Feb-89,us US,2,Syracuse
2012,HOU,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,5,Villanova
2014,HOU,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,5,Oregon
2014,HOU,Isaiah Canaan,PG,72.00,201,21-May-91,us US,R,Murray State
2015,HOU,Isaiah Canaan,PG,72.00,201,21-May-91,us US,1,Murray State
2018,HOU,Chris Paul,PG,72.00,175,6-May-85,us US,12,Wake Forest
2018,HOU,Isaiah Canaan,SG,72.00,201,21-May-91,us US,4,Murray State
2024,HOU,Aaron Holiday,PG,72.00,185,30-Sep-96,us US,5,UCLA
2024,HOU,Fred VanVleet,PG,72.00,197,25-Feb-94,us US,7,Wichita State
2005,IND,Eddie Gill,PG,72.00,190,16-Aug-78,us US,3,Weber State
2011,IND,Darren Collison,PG,72.00,175,23-Aug-87,us US,1,UCLA
2011,IND,T.J. Ford,PG,72.00,165,24-Mar-83,us US,6,Texas
2012,IND,Darren Collison,PG,72.00,175,23-Aug-87,us US,2,UCLA
2017,IND,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,8,Oregon
2018,IND,Darren Collison,PG,72.00,175,23-Aug-87,us US,8,UCLA
2021,IND,Aaron Holiday,PG,72.00,185,30-Sep-96,us US,2,UCLA
1980,KCK,Billy McKinney,PG,72.00,160,5-Jun-55,us US,1,Northwestern
1990,LAC,David Rivers,PG,72.00,170,20-Jan-65,us US,1,Notre Dame
1999,LAC,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,9,Syracuse
2005,LAC,Lionel Chalmers,PG,72.00,180,10-Nov-80,us US,R,Xavier
2012,LAC,Chris Paul,PG,72.00,175,6-May-85,us US,6,Wake Forest
2013,LAC,Chris Paul,PG,72.00,175,6-May-85,us US,7,Wake Forest
2015,LAC,Chris Paul,PG,72.00,175,6-May-85,us US,9,Wake Forest
2016,LAC,Chris Paul,PG,72.00,175,6-May-85,us US,10,Wake Forest
2018,LAC,Jawun Evans,PG,72.00,185,26-Jul-96,us US,R,Oklahoma State
2021,LAC,Yogi Ferrell,PG,72.00,178,9-May-93,us US,4,Indiana
1980,LAL,Butch Lee,PG,72.00,185,5-Dec-56,pr PR,1,Marquette
1989,LAL,David Rivers,PG,72.00,170,20-Jan-65,us US,R,Notre Dame
1999,LAL,Tyronn Lue,PG,72.00,175,3-May-77,us US,R,Nebraska
2001,LAL,Tyronn Lue,PG,72.00,175,3-May-77,us US,2,Nebraska
2002,LAL,Joe Crispin,PG,72.00,185,18-Jul-79,us US,R,Penn State
2007,MEM,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,R,Villanova
2009,MEM,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,2,Villanova
2009,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,1,Ohio State
2010,MEM,Allen Iverson,PG,72.00,165,7-Jun-75,us US,13,Georgetown
2010,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,2,Ohio State
2012,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,4,Ohio State
2013,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,5,Ohio State
2016,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,8,Ohio State
2016,MEM,Russ Smith,PG,72.00,165,19-Apr-91,us US,1,Louisville
2019,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,11,Ohio State
1990,MIA,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,R,Syracuse
1996,MIA,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,5,Texas-El Paso
1997,MIA,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,6,Texas-El Paso
1999,MIA,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,8,Texas-El Paso
2000,MIA,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,9,Texas-El Paso
2015,MIA,Shabazz Napier,PG,72.00,175,14-Jul-91,us US,R,UConn
2018,MIA,Derrick Walton,PG,72.00,189,3-Apr-95,us US,R,Michigan
2022,MIA,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,15,Villanova
1980,MIL,Lloyd Walton,PG,72.00,160,23-Nov-53,us US,3,Marquette
1989,MIL,Rickey Green,PG,72.00,170,18-Aug-54,us US,10,"Vincennes University, Michigan"
1996,MIL,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,6,Syracuse
1999,MIL,Elliot Perry,PG,72.00,150,28-Mar-69,us US,6,Memphis
2002,MIL,Greg Anthony,PG,72.00,176,15-Nov-67,us US,10,"University of Portland, UNLV"
2006,MIL,T.J. Ford,PG,72.00,165,24-Mar-83,us US,1,Texas
2009,MIL,Eddie Gill,PG,72.00,190,16-Aug-78,us US,6,Weber State
2009,MIL,Tyronn Lue,PG,72.00,175,3-May-77,us US,10,Nebraska
2021,MIL,Jaylen Adams,PG,72.00,225,4-May-96,us US,2,St. Bonaventure
1990,MIN,Sidney Lowe,PG,72.00,195,21-Jan-60,us US,3,NC State
1997,MIN,Shane Heal,PG,72.00,180,6-Sep-70,au AU,R,
2009,MIN,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,4,
2010,MIN,Jonny Flynn,PG,72.00,185,6-Feb-89,us US,R,Syracuse
2019,MIN,Isaiah Canaan,PG,72.00,201,21-May-91,us US,5,Murray State
2022,MIN,Jordan McLaughlin,PG,72.00,185,9-Apr-96,us US,2,USC
2022,MIN,McKinley Wright IV,PG,72.00,196,25-Oct-98,us US,R,Colorado
1983,NJN,Foots Walker,PG,72.00,184,21-May-51,us US,8,"Vincennes University, West Georgia"
1989,NJN,John Bagley,PG,72.00,185,23-Apr-60,us US,6,Boston College
1990,NJN,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,R,"Midland College, Oklahoma"
1992,NJN,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,2,"Midland College, Oklahoma"
1998,NJN,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,8,Syracuse
1999,NJN,Elliot Perry,PG,72.00,150,28-Mar-69,us US,6,Memphis
2008,NJN,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,13,Fayetteville State University
2008,NJN,Eddie Gill,PG,72.00,190,16-Aug-78,us US,5,Weber State
2003,NOH,David Wesley,SG,72.00,190,14-Nov-70,us US,9,Baylor
2004,NOH,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,9,Fayetteville State University
2004,NOH,David Wesley,SG,72.00,190,14-Nov-70,us US,10,Baylor
2009,NOH,Chris Paul,PG,72.00,175,6-May-85,us US,3,Wake Forest
2010,NOH,Chris Paul,PG,72.00,175,6-May-85,us US,4,Wake Forest
2010,NOH,Darren Collison,PG,72.00,175,23-Aug-87,us US,R,UCLA
2006,NOK,Chris Paul,PG,72.00,175,6-May-85,us US,R,Wake Forest
2007,NOK,Chris Paul,PG,72.00,175,6-May-85,us US,1,Wake Forest
2016,NOP,Ish Smith,PG,72.00,175,5-Jul-88,us US,5,Wake Forest
2016,NOP,Tim Frazier,PG,72.00,170,1-Nov-90,us US,1,Penn State
2017,NOP,Tim Frazier,PG,72.00,170,1-Nov-90,us US,2,Penn State
2019,NOP,Tim Frazier,PG,72.00,170,1-Nov-90,us US,4,Penn State
2020,NOP,Josh Gray,PG,72.00,180,9-Sep-93,us US,1,LSU
2022,NOP,Jose Alvarado,PG,72.00,179,12-Apr-98,us US,R,Georgia Tech
2023,NOP,Jose Alvarado,PG,72.00,179,12-Apr-98,us US,1,Georgia Tech
1993,NYK,Greg Anthony,PG,72.00,176,15-Nov-67,us US,1,"University of Portland, UNLV"
2018,NYK,Trey Burke,PG,72.00,185,12-Nov-92,us US,4,Michigan
2019,NYK,Trey Burke,PG,72.00,185,12-Nov-92,us US,5,Michigan
2022,NYK,Kemba Walker,PG,72.00,184,8-May-90,us US,10,UConn
2019,OKC,Jawun Evans,PG,72.00,185,26-Jul-96,us US,1,Oklahoma State
2020,OKC,Chris Paul,PG,72.00,175,6-May-85,us US,14,Wake Forest
2022,OKC,Zavier Simpson,PG,72.00,190,11-Feb-97,us US,R,Michigan
1993,ORL,Chris Corchiani,PG,72.00,185,28-Mar-68,us US,1,NC State
1996,ORL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,1,Fayetteville State University
1997,ORL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,2,Fayetteville State University
1999,ORL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,4,Fayetteville State University
2000,ORL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,5,Fayetteville State University
2003,ORL,Chris Whitney,PG,72.00,168,5-Oct-71,us US,9,Clemson
2003,ORL,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,8,Fayetteville State University
2006,ORL,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,1,Saint Joseph's
2009,ORL,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,4,Saint Joseph's
2009,ORL,Tyronn Lue,PG,72.00,175,3-May-77,us US,10,Nebraska
2010,ORL,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,5,Saint Joseph's
2012,ORL,Ish Smith,PG,72.00,175,5-Jul-88,us US,1,Wake Forest
2012,ORL,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,7,Saint Joseph's
2013,ORL,Ish Smith,PG,72.00,175,5-Jul-88,us US,2,Wake Forest
2013,ORL,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,8,Saint Joseph's
2016,ORL,Shabazz Napier,PG,72.00,175,14-Jul-91,us US,1,UConn
2022,ORL,Tim Frazier,PG,72.00,170,1-Nov-90,us US,7,Penn State
1980,PHI,Eric Money,PG,72.00,170,6-Feb-55,us US,5,Arizona
1996,PHI,Elmer Bennett,PG,72.00,170,13-Feb-70,us US,1,Notre Dame
1999,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,2,Georgetown
2002,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,5,Georgetown
2003,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,6,Georgetown
2005,PHI,Allen Iverson,PG,72.00,165,7-Jun-75,us US,8,Georgetown
2006,PHI,Allen Iverson,PG,72.00,165,7-Jun-75,us US,9,Georgetown
2015,PHI,Isaiah Canaan,PG,72.00,201,21-May-91,us US,1,Murray State
2015,PHI,Ish Smith,PG,72.00,175,5-Jul-88,us US,4,Wake Forest
2015,PHI,Tim Frazier,PG,72.00,170,1-Nov-90,us US,R,Penn State
2024,PHI,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,17,Villanova
1995,PHO,Elliot Perry,PG,72.00,150,28-Mar-69,us US,2,Memphis
2001,PHO,Elliot Perry,PG,72.00,150,28-Mar-69,us US,8,Memphis
2002,PHO,Joe Crispin,PG,72.00,185,18-Jul-79,us US,R,Penn State
2011,PHO,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,3,Oregon
2014,PHO,Ish Smith,PG,72.00,175,5-Jul-88,us US,3,Wake Forest
2018,PHO,Isaiah Canaan,PG,72.00,201,21-May-91,us US,4,Murray State
2018,PHO,Josh Gray,PG,72.00,180,9-Sep-93,us US,R,LSU
2021,PHO,Chris Paul,PG,72.00,175,6-May-85,us US,15,Wake Forest
2023,PHO,Chris Paul,PG,72.00,175,6-May-85,us US,17,Wake Forest
1999,POR,Greg Anthony,PG,72.00,176,15-Nov-67,us US,7,"University of Portland, UNLV"
2005,POR,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,R,
2006,POR,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,1,
2008,POR,Taurean Green,PG,72.00,177,28-Nov-86,us US,R,Florida
2012,POR,Jonny Flynn,PG,72.00,185,6-Feb-89,us US,2,Syracuse
2015,POR,Tim Frazier,PG,72.00,170,1-Nov-90,us US,R,Penn State
2018,POR,Shabazz Napier,PG,72.00,175,14-Jul-91,us US,3,UConn
1987,SAC,Othell Wilson,PG,72.00,190,26-Oct-61,us US,1,Virginia
1996,SAC,Bobby Hurley,PG,72.00,165,28-Jun-71,us US,2,Duke
1997,SAC,Bobby Hurley,PG,72.00,165,28-Jun-71,us US,3,Duke
1999,SAC,Michael Hawkins,PG,72.00,178,28-Oct-72,us US,1,Xavier
2013,SAC,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,4,Oregon
2015,SAC,Darren Collison,PG,72.00,175,23-Aug-87,us US,5,UCLA
2016,SAC,Darren Collison,PG,72.00,175,23-Aug-87,us US,6,UCLA
2019,SAC,Yogi Ferrell,PG,72.00,178,9-May-93,us US,2,Indiana
1995,SAS,Chris Whitney,PG,72.00,168,5-Oct-71,us US,1,Clemson
2012,SAS,T.J. Ford,PG,72.00,165,24-Mar-83,us US,7,Texas
1998,SEA,Greg Anthony,PG,72.00,176,15-Nov-67,us US,6,"University of Portland, UNLV"
2008,SEA,Eddie Gill,PG,72.00,190,16-Aug-78,us US,5,Weber State
2007,TOR,T.J. Ford,PG,72.00,165,24-Mar-83,us US,2,Texas
2013,TOR,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,6,Villanova
2013,TOR,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,8,
2015,TOR,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,8,Villanova
2016,TOR,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,9,Villanova
2019,TOR,Fred VanVleet,PG,72.00,197,25-Feb-94,us US,2,Wichita State
2019,TOR,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,12,Villanova
2022,TOR,Fred VanVleet,PG,72.00,197,25-Feb-94,us US,5,Wichita State
1980,UTA,Mack Calvin,PG,72.00,165,27-Jul-47,us US,9,"Long Beach City College, USC"
1983,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,4,"Vincennes University, Michigan"
1984,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,5,"Vincennes University, Michigan"
1986,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,7,"Vincennes University, Michigan"
1987,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,8,"Vincennes University, Michigan"
2015,UTA,Trey Burke,PG,72.00,185,12-Nov-92,us US,1,Michigan
2021,UTA,Mike Conley,PG,72.00,175,11-Oct-87,us US,13,Ohio State
2022,UTA,Mike Conley,PG,72.00,175,11-Oct-87,us US,14,Ohio State
1996,VAN,Greg Anthony,PG,72.00,176,15-Nov-67,us US,4,"University of Portland, UNLV"
1997,VAN,Greg Anthony,PG,72.00,176,15-Nov-67,us US,5,"University of Portland, UNLV"
1999,VAN,DeJuan Wheat,PG,72.00,165,14-Oct-73,us US,1,Louisville
1998,WAS,God Shammgod,PG,72.00,169,April 29 1976,us US,R,Providence
1998,WAS,Chris Whitney,PG,72.00,168,October 5 1971,us US,4,Clemson
1999,WAS,Chris Whitney,PG,72.00,168,October 5 1971,us US,5,Clemson
2000,WAS,Chris Whitney,PG,72.00,168,5-Oct-71,us US,6,Clemson
2001,WAS,Chris Whitney,PG,72.00,168,October 5 1971,us US,7,Clemson
2002,WAS,Tyronn Lue,PG,72.00,175,May 3 1977,us US,3,Nebraska
2002,WAS,Chris Whitney,PG,72.00,168,October 5 1971,us US,8,Clemson
2003,WAS,Tyronn Lue,PG,72.00,175,3-May-77,us US,4,Nebraska
2004,WAS,Chris Whitney,PG,72.00,168,October 5 1971,us US,10,Clemson
2009,WAS,Dee Brown,PG,72.00,185,17-Aug-84,us US,1,Illinois
2015,WAS,Will Bynum,SG,72.00,185,4-Jan-83,us US,7,"Arizona, Georgia Tech"
2017,WAS,Trey Burke,PG,72.00,185,November 12 1992,us US,3,Michigan
2018,WAS,Tim Frazier,PG,72.00,170,November 1 1990,us US,3,Penn State
